"region_id","score","subbasin_id","dimension","indicator","scen_year"
1,100,"501","status","din",2019
2,100,"501","status","din",2019
3,100,"502","status","din",2019
4,100,"502","status","din",2019
5,58.16,"503","status","din",2019
6,58.16,"503","status","din",2019
7,100,"504","status","din",2019
8,100,"504","status","din",2019
9,81.45,"505","status","din",2019
10,81.45,"505","status","din",2019
11,96.22,"506","status","din",2019
12,96.22,"506","status","din",2019
13,96.22,"506","status","din",2019
14,81.71,"507","status","din",2019
15,81.71,"507","status","din",2019
16,81.71,"507","status","din",2019
17,81.71,"507","status","din",2019
18,89.53,"508","status","din",2019
19,89.53,"508","status","din",2019
20,89.2,"509","status","din",2019
21,89.2,"509","status","din",2019
22,89.2,"509","status","din",2019
23,89.2,"509","status","din",2019
24,89.2,"509","status","din",2019
25,89.2,"509","status","din",2019
26,73.85,"510","status","din",2019
27,49.63,"511","status","din",2019
28,49.63,"511","status","din",2019
29,75.6,"512","status","din",2019
30,75.6,"512","status","din",2019
31,75.6,"512","status","din",2019
32,65.37,"513","status","din",2019
33,65.37,"513","status","din",2019
34,65.37,"513","status","din",2019
35,85.52,"514","status","din",2019
36,85.52,"514","status","din",2019
37,72.84,"515","status","din",2019
38,72.84,"515","status","din",2019
39,86.79,"516","status","din",2019
40,86.79,"516","status","din",2019
41,80.89,"517","status","din",2019
42,80.89,"517","status","din",2019
1,0.005,"501","trend","din",2019
2,0.005,"501","trend","din",2019
3,0.101,"502","trend","din",2019
4,0.101,"502","trend","din",2019
7,0.136,"504","trend","din",2019
8,0.136,"504","trend","din",2019
9,0.221,"505","trend","din",2019
10,0.221,"505","trend","din",2019
11,0.151,"506","trend","din",2019
12,0.151,"506","trend","din",2019
13,0.151,"506","trend","din",2019
14,0.733,"507","trend","din",2019
15,0.733,"507","trend","din",2019
16,0.733,"507","trend","din",2019
17,0.733,"507","trend","din",2019
18,-0.055,"508","trend","din",2019
19,-0.055,"508","trend","din",2019
20,0.091,"509","trend","din",2019
21,0.091,"509","trend","din",2019
22,0.091,"509","trend","din",2019
23,0.091,"509","trend","din",2019
24,0.091,"509","trend","din",2019
25,0.091,"509","trend","din",2019
26,0.255,"510","trend","din",2019
27,-0.083,"511","trend","din",2019
28,-0.083,"511","trend","din",2019
29,0.071,"512","trend","din",2019
30,0.071,"512","trend","din",2019
31,0.071,"512","trend","din",2019
32,0.245,"513","trend","din",2019
33,0.245,"513","trend","din",2019
34,0.245,"513","trend","din",2019
35,-0.348,"514","trend","din",2019
36,-0.348,"514","trend","din",2019
37,-0.079,"515","trend","din",2019
38,-0.079,"515","trend","din",2019
39,-0.049,"516","trend","din",2019
40,-0.049,"516","trend","din",2019
41,-0.035,"517","trend","din",2019
42,-0.035,"517","trend","din",2019
5,NA,"503","trend","din",2019
6,NA,"503","trend","din",2019
